country,month,latitude,longitude,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
Afghanistan,1,34.5167,69.1833,1752522403.2786884,1.5655737704918034,34.81475409836065,3.6704918032786886,5.926229508196721,195.672131147541,1023.4590163934427,30.22262295081967,0.07918032786885246,0.003114754098360656,53.0655737704918,36.91803278688525,0.0836065573770492,32.14262295081967,9.229508196721312,5.508196721311475,1.8704918032786884,5.436065573770493,8.752459016393443,922.8049180327869,109.8360655737705,12.775,6.107786885245901,22.24081967213115,28.584180327868854,1.7049180327868851,2.4262295081967213,49.78688524590164
Afghanistan,2,34.5167,69.1833,1749361082.9268293,3.9365853658536585,39.08780487804878,4.2317073170731705,6.824390243902439,201.09756097560975,1021.4878048780488,30.16560975609756,0.0526829268292683,0.001951219512195122,52.073170731707314,33.1219512195122,2.475609756097561,36.451219512195124,9.21951219512195,5.512195121951219,2.207317073170732,5.809756097560975,9.346341463414634,704.6426829268293,117.78048780487805,7.869512195121951,5.9399999999999995,19.070853658536585,35.387804878048776,1.6097560975609757,2.024390243902439,59.073170731707314
Afghanistan,3,34.5167,69.1833,1742117835.483871,11.993548387096775,53.57419354838709,3.916129032258065,6.32258064516129,192.70967741935485,1015.258064516129,29.981612903225805,0.06387096774193549,0.0022580645161290325,33.03225806451613,18.903225806451612,11.48709677419355,52.66129032258065,10.0,6.0,3.5580645161290323,5.993548387096775,9.64516129032258,560.2516129032258,119.35483870967742,3.926774193548387,10.718064516129031,14.817903225806452,34.03403225806452,1.3548387096774193,1.7419354838709677,50.29032258064516
Afghanistan,4,34.5167,69.1833,1744751100.0,22.986666666666668,73.37333333333332,4.1066666666666665,6.613333333333333,97.26666666666667,1010.2,29.832333333333334,0.0013333333333333333,0.0,18.4,19.433333333333334,22.366666666666667,72.24,9.966666666666667,5.966666666666667,7.653333333333333,5.683333333333334,9.156666666666666,702.4449999999999,119.2,5.593166666666667,15.009666666666668,18.623333333333335,52.70033333333333,1.7,2.066666666666667,52.53333333333333
Afghanistan,5,34.51786875,69.18213125000001,1736439131.25,24.802083333333332,76.64583333333333,6.866666666666667,11.043750000000001,102.29166666666667,1007.2916666666666,29.744375,0.12916666666666668,0.005208333333333333,24.770833333333332,25.145833333333332,23.860416666666666,74.9375,9.770833333333334,5.8125,7.397916666666667,8.610416666666667,13.86875,876.1395833333332,112.57708333333333,8.96875,9.801354166666666,18.370520833333334,49.47593749999999,1.5833333333333333,2.0625,61.020833333333336
Afghanistan,6,34.518350000000005,69.18165,1734261630.0,28.301666666666666,82.92333333333333,9.09,14.618333333333334,117.98333333333333,1003.3833333333333,29.62633333333333,0.0375,0.0013333333333333333,18.916666666666668,14.333333333333334,26.831666666666667,80.29166666666667,9.9,5.933333333333334,8.426666666666668,10.721666666666666,17.259999999999998,1023.2183333333334,114.39166666666667,10.436333333333332,8.796583333333333,19.72025,60.58183333333333,1.5833333333333333,2.2666666666666666,50.88333333333333
Afghanistan,7,34.518295,69.18170500000001,1737404145.0,32.11833333333333,89.825,9.335,15.020000000000001,77.56666666666666,998.4333333333333,29.4835,0.0005,0.0,14.733333333333333,9.65,30.176666666666666,86.315,10.0,6.0,9.035,10.731666666666666,17.278333333333332,634.9666666666667,132.34166666666667,4.7290833333333335,8.294500000000001,20.2115,66.39316666666667,1.6,2.216666666666667,47.06666666666667
Afghanistan,8,34.518350000000005,69.18165,1739571300.0,30.664516129032258,87.19354838709677,8.412903225806453,13.533870967741937,67.04838709677419,1002.1290322580645,29.593548387096774,0.018548387096774192,0.0006451612903225806,17.951612903225808,7.306451612903226,28.870967741935484,83.95645161290322,9.887096774193548,5.919354838709677,9.154838709677419,9.672580645161291,15.583870967741936,739.8290322580646,121.20967741935483,7.054677419354839,7.308548387096774,20.046048387096775,58.05854838709678,1.5483870967741935,2.161290322580645,47.403225806451616
Afghanistan,9,34.518350000000005,69.18165,1742204160.0,27.525,81.545,5.503333333333333,8.863333333333333,71.38333333333334,1006.3,29.716,0.0071666666666666675,0.0003333333333333333,15.5,7.233333333333333,25.85666666666667,78.53666666666666,9.916666666666666,5.95,7.911666666666666,6.67,10.745000000000001,800.0516666666666,115.70666666666666,9.420916666666667,12.570583333333333,23.223583333333334,44.828583333333334,1.8166666666666667,2.5166666666666666,47.11666666666667
Afghanistan,10,34.5168064516129,69.1831935483871,1744835603.2258065,21.125806451612902,70.02258064516128,3.366129032258064,5.420967741935484,95.16129032258064,1012.8064516129032,29.905,0.05096774193548387,0.001935483870967742,19.983870967741936,9.790322580645162,20.893548387096775,69.6032258064516,9.96774193548387,5.967741935483871,5.153225806451613,4.270967741935484,6.862903225806452,752.8701612903226,92.2258064516129,9.375,12.18,21.743870967741938,35.67379032258064,1.8064516129032258,2.435483870967742,46.225806451612904
Afghanistan,11,34.5167,69.1833,1747469880.0,14.796666666666665,58.63,2.711666666666667,4.395,129.9,1017.1666666666666,30.035,0.001,0.0,17.683333333333334,11.516666666666667,14.801666666666668,58.638333333333335,9.983333333333333,5.983333333333333,3.4183333333333334,5.111666666666666,8.231666666666667,940.7908333333332,77.81666666666666,11.553666666666667,9.907416666666668,17.109416666666668,23.198500000000003,1.5833333333333333,1.9666666666666666,47.11666666666667
Afghanistan,12,34.5167,69.1833,1750107150.0,7.896774193548388,46.211290322580645,2.5387096774193547,4.120967741935484,141.0483870967742,1019.516129032258,30.10532258064516,0.013064516129032259,0.0006451612903225806,28.06451612903226,24.887096774193548,7.759677419354839,45.95161290322581,9.790322580645162,5.870967741935484,1.6225806451612903,5.33225806451613,8.588709677419354,739.0846774193549,80.46774193548387,8.274032258064516,11.763225806451613,15.355645161290322,20.68016129032258,1.435483870967742,1.7580645161290323,47.5
Albania,1,41.3275,19.8189,1752522300.0,10.073770491803279,50.14098360655738,4.786885245901639,7.703278688524589,140.34426229508196,1016.311475409836,30.011803278688525,0.20311475409836063,0.007704918032786886,67.70491803278688,55.60655737704918,9.157377049180328,48.47704918032787,9.770491803278688,5.836065573770492,0.7901639344262296,7.455737704918033,11.975409836065573,247.30901639344262,60.40983606557377,13.377295081967214,5.6231967213114755,12.622622950819672,17.09704918032787,1.2622950819672132,1.5245901639344261,49.868852459016395
Albania,2,41.3275,19.8189,1749360995.121951,11.229268292682926,52.21463414634147,3.5292682926829264,5.697560975609756,142.3170731707317,1017.170731707317,30.038292682926826,0.0775609756097561,0.002926829268292683,63.31707317073171,56.09756097560975,10.995121951219513,51.77804878048781,9.795121951219512,5.853658536585366,1.2853658536585366,5.726829268292684,9.21951219512195,294.1646341463415,67.09756097560975,13.524634146341462,7.60609756097561,17.49048780487805,20.733170731707315,1.5121951219512195,2.024390243902439,58.8780487804878
Albania,3,41.3275,19.8189,1742117748.387097,16.067741935483873,60.91612903225807,4.790322580645161,7.719354838709678,179.6451612903226,1016.4193548387096,30.01483870967742,0.2403225806451613,0.01,51.61290322580645,41.935483870967744,15.96774193548387,60.73225806451613,10.0,6.0,2.638709677419355,6.638709677419355,10.680645161290323,319.4532258064516,75.54838709677419,16.80516129032258,8.330967741935483,21.489838709677418,30.841290322580644,1.7419354838709677,2.3548387096774195,50.225806451612904
Albania,4,41.3275,19.8189,1744751070.0,18.403333333333332,65.13333333333334,5.046666666666667,8.13,220.66666666666666,1015.3,29.980666666666664,0.14400000000000002,0.005666666666666667,49.833333333333336,27.5,18.60666666666667,65.49333333333333,10.0,6.0,4.16,6.12,9.846666666666666,300.37833333333333,74.63333333333334,14.06,7.517166666666666,17.186500000000002,23.94516666666667,1.6666666666666667,1.9,52.5
Albania,5,41.32838541666667,19.819289583333333,1736439150.0,23.075,73.53541666666666,6.183333333333334,9.941666666666666,251.4375,1013.3541666666666,29.922291666666666,0.24166666666666667,0.008958333333333334,53.291666666666664,34.375,24.266666666666666,75.66666666666667,10.0,6.0,4.995833333333334,8.010416666666666,12.893749999999999,239.17083333333335,81.77708333333334,8.454895833333333,4.386354166666666,13.646770833333333,21.853958333333335,1.3958333333333333,1.7291666666666667,60.979166666666664
Albania,6,41.32875,19.81945,1734261600.0,30.083333333333332,86.15666666666667,6.89,11.091666666666667,271.8333333333333,1014.6833333333333,29.961000000000002,0.02666666666666667,0.0013333333333333333,42.06666666666667,9.55,30.871666666666666,87.56166666666667,10.0,6.0,6.846666666666667,9.35,15.053333333333335,240.37583333333333,94.43666666666667,8.743083333333335,5.6939166666666665,15.717666666666668,23.858666666666668,1.4666666666666666,1.8,50.81666666666667
Albania,7,41.32870833333333,19.819431666666667,1737404100.0,32.428333333333335,90.365,9.520000000000001,15.321666666666665,285.9166666666667,1010.8666666666667,29.849833333333333,0.0605,0.0023333333333333335,36.78333333333333,11.816666666666666,32.035,89.65,10.0,6.0,7.0233333333333325,11.555,18.595000000000002,242.22833333333335,98.91666666666667,9.49475,5.870333333333334,14.436083333333332,20.042916666666667,1.4333333333333333,1.7,47.1
Albania,8,41.32875,19.81945,1739571256.451613,31.601612903225806,88.88064516129033,8.396774193548387,13.520967741935483,279.6290322580645,1011.983870967742,29.88209677419355,0.015483870967741935,0.0004838709677419355,38.225806451612904,11.64516129032258,30.97741935483871,87.76290322580645,10.0,6.0,6.220967741935484,10.64516129032258,17.13225806451613,276.3693548387097,92.94354838709677,10.739112903225807,5.414596774193548,14.067258064516128,17.34266129032258,1.403225806451613,1.7419354838709677,47.41935483870968
Albania,9,41.32875,19.81945,1742204130.0,25.445,77.80666666666666,4.765,7.671666666666667,258.81666666666666,1014.9,29.96833333333333,0.20833333333333334,0.008,54.266666666666666,23.75,26.153333333333332,79.06166666666667,9.95,5.966666666666667,4.3966666666666665,7.181666666666667,11.566666666666666,279.2808333333333,71.355,17.76625,7.3879166666666665,15.510250000000001,20.78033333333333,1.45,1.8166666666666667,47.18333333333333
Albania,10,41.32758064516129,19.818935483870966,1744835603.2258065,18.503225806451614,65.30483870967743,3.712903225806452,5.982258064516128,202.29032258064515,1017.7741935483871,30.054516129032258,0.11161290322580646,0.004838709677419355,64.06451612903226,34.04838709677419,18.864516129032257,65.94516129032257,9.759677419354839,5.82258064516129,1.993548387096774,5.174193548387097,8.32258064516129,230.03709677419354,55.32258064516129,16.833467741935483,7.372177419354839,15.232177419354839,20.136048387096775,1.435483870967742,1.7741935483870968,46.24193548387097
Albania,11,41.3275,19.8189,1747469805.0,13.103333333333333,55.59,3.92,6.319999999999999,121.66666666666667,1018.1833333333333,30.066166666666668,0.27116666666666667,0.0105,70.2,42.4,12.926666666666668,55.25,9.716666666666667,5.8,0.765,6.218333333333334,10.01,238.07999999999998,50.266666666666666,16.668166666666668,5.5584999999999996,14.619583333333333,18.01475,1.4,1.75,46.93333333333333
Albania,12,41.3275,19.8189,1750107266.1290324,8.524193548387096,47.349999999999994,3.943548387096774,6.340322580645162,105.79032258064517,1018.5322580645161,30.07741935483871,0.1570967741935484,0.005967741935483871,72.51612903225806,36.16129032258065,7.770967741935484,45.97741935483871,9.093548387096773,5.370967741935484,0.6403225806451613,6.483870967741935,10.44032258064516,253.1008064516129,49.62903225806452,15.835806451612903,7.091451612903226,15.044112903225807,17.8075,1.3548387096774193,1.7419354838709677,47.483870967741936
Algeria,1,36.7631,3.0506,1752522550.819672,12.631147540983607,54.73934426229508,9.727868852459016,15.662295081967212,195.0983606557377,1017.9344262295082,30.059672131147543,0.15852459016393441,0.0060655737704918035,71.80327868852459,46.85245901639344,11.449180327868852,52.61147540983607,9.552459016393444,5.655737704918033,0.759016393442623,15.01311475409836,24.167213114754098,280.9704918032787,46.77049180327869,37.77426229508197,18.795737704918032,12.810491803278687,21.22098360655738,1.3114754098360655,1.5901639344262295,49.868852459016395
Algeria,2,36.7631,3.0506,1749361082.9268293,14.782926829268293,58.609756097560975,7.1780487804878055,11.558536585365854,206.26829268292684,1018.560975609756,30.078048780487805,0.03975609756097561,0.0012195121951219512,67.21951219512195,43.853658536585364,14.373170731707315,57.87560975609756,9.75609756097561,5.829268292682927,1.5,11.597560975609756,18.660975609756097,350.23658536585367,47.707317073170735,47.52390243902439,26.708902439024392,18.015243902439025,24.60878048780488,1.6097560975609757,2.0,58.8780487804878
Algeria,3,36.7631,3.0506,1742117806.451613,17.616129032258065,63.71290322580645,9.35483870967742,15.070967741935483,205.03225806451613,1014.3870967741935,29.95387096774194,0.04193548387096774,0.0016129032258064516,60.96774193548387,50.0,17.580645161290324,63.65161290322581,9.870967741935484,5.870967741935484,2.1774193548387095,12.903225806451612,20.748387096774195,354.18548387096774,59.45161290322581,39.208064516129035,18.243387096774192,29.22403225806452,61.00225806451613,1.967741935483871,2.903225806451613,50.225806451612904
Algeria,4,36.7631,3.0506,1744751070.0,19.7,67.46,7.303333333333333,11.743333333333334,172.8,1015.5333333333333,29.987000000000002,0.06666666666666667,0.0023333333333333335,59.13333333333333,27.9,19.883333333333333,67.79333333333334,9.933333333333334,5.933333333333334,2.9166666666666665,9.956666666666667,16.02,351.87,61.166666666666664,36.54983333333333,16.341666666666665,24.2535,43.98683333333334,1.8333333333333333,2.6666666666666665,52.43333333333333
Algeria,5,36.762002083333336,3.0503875,1736439150.0,23.635416666666668,74.55,9.770833333333334,15.733333333333334,174.9375,1015.3333333333334,29.981041666666666,0.060000000000000005,0.0022916666666666667,55.125,30.208333333333332,24.675,76.41041666666666,9.875,5.916666666666667,4.175,13.0,20.916666666666668,283.4375,80.93541666666667,24.240729166666668,9.993125000000001,17.296875,33.81104166666667,1.5,2.0,60.958333333333336
Algeria,6,36.76155000000001,3.0503,1734261600.0,28.196666666666665,82.75833333333334,10.608333333333333,17.08833333333333,141.05,1015.6666666666666,29.990666666666666,0.0,0.0,50.916666666666664,21.7,29.743333333333332,85.53500000000001,9.766666666666667,5.816666666666666,5.3100000000000005,14.428333333333335,23.23,267.83416666666665,92.18333333333334,19.740000000000002,8.126666666666667,18.168166666666664,33.811166666666665,1.6,2.1166666666666667,50.833333333333336
Algeria,7,36.76162881355932,3.0503152542372884,1737669600.0,29.79491525423729,85.63389830508474,8.967796610169492,14.437288135593219,117.76271186440678,1014.5593220338983,29.958135593220337,0.0022033898305084745,0.0,54.86440677966102,20.203389830508474,32.64576271186441,90.7542372881356,10.0,6.0,5.15593220338983,11.474576271186441,18.472881355932206,278.58813559322033,109.58983050847458,19.972966101694915,7.363305084745763,18.028813559322035,36.78262711864407,1.6440677966101696,2.016949152542373,46.25423728813559
Algeria,8,36.76155,3.0503000000000005,1739571329.032258,29.598387096774193,85.27741935483871,8.470967741935485,13.653225806451612,144.38709677419354,1014.0806451612904,29.943548387096776,0.0,0.0,53.483870967741936,16.322580645161292,32.001612903225805,89.58387096774193,9.790322580645162,5.82258064516129,4.837096774193548,11.29516129032258,18.17258064516129,317.5395161290323,102.31129032258065,25.40983870967742,9.447096774193549,20.47467741935484,38.50096774193548,1.6451612903225807,2.2419354838709675,47.483870967741936
Algeria,9,36.76155000000001,3.0503,1742204160.0,26.336666666666666,79.40666666666667,7.471666666666667,12.031666666666666,167.01666666666668,1016.2166666666667,30.006833333333336,0.012166666666666666,0.0003333333333333333,59.95,31.183333333333334,28.418333333333333,83.13666666666667,9.683333333333334,5.766666666666667,3.8800000000000003,10.058333333333334,16.191666666666666,314.13916666666665,62.223333333333336,33.6315,13.390083333333333,21.925583333333336,40.32891666666667,1.8,2.35,47.1
Algeria,10,36.763,3.0505806451612907,1744835632.2580645,21.398387096774194,70.51774193548388,5.854838709677419,9.432258064516128,178.48387096774192,1017.5483870967741,30.046290322580642,0.015,0.0003225806451612903,67.83870967741936,33.516129032258064,21.9741935483871,71.5516129032258,9.82258064516129,5.870967741935484,1.6419354838709677,8.73225806451613,14.05967741935484,261.9975806451613,40.67741935483871,37.28709677419355,13.769354838709678,17.67241935483871,31.60693548387097,1.467741935483871,2.0161290322580645,46.225806451612904
Algeria,11,36.7631,3.0506,1747469880.0,16.051666666666666,60.891666666666666,6.845,11.008333333333333,192.1,1019.6166666666667,30.109166666666667,0.10233333333333333,0.003833333333333333,71.16666666666667,30.383333333333333,15.638333333333332,60.13666666666666,9.433333333333334,5.6,0.535,10.798333333333334,17.376666666666665,281.01,35.483333333333334,41.04983333333333,15.579416666666667,22.040833333333335,42.26191666666667,1.6833333333333333,2.5166666666666666,46.93333333333333
